author	papercount	birthyear	papers
D. H. Green	285		['b71846278ad6c927aa14a752fb6cb9c164df6898', 'b95b7283e3741052a545da028f4e0387891f3e8f', 'bcc133d5b4a630bf0d8697fcaa2b1c43b0536592', '8da5fd61a2b4a5ab672cd0a33ab5fcb86be45a60', 'e8653e173c294cbbebf69fe05210ab4a9121806d', '41cf72c6f016278694a23a11b414c3ef900075b1', 'd8b612a5d3ea1064ac0ac7c661da507759f7498a', 'ae226c2eb8d3df4e2754e778e1c899966ee51d97', '68e7c413bb1480754dd60f84500b3318a1e61ed0', '318f0e06e944a2100d9495dc7c77e9d24fe9dd91', '7f2042b61801a2dd3787ad873b9768ceed3312fc', '11c230e68bd2b334d3b323d4c7c26bb30d419308', '8f4e000f2ba52c64f80d17cbb56dd8dcc4b4053b', 'f169474c7b14d0e240b77ec95f583fbe673b8409', 'feb4c5750011754b421b33fd14871a39a0db361d', '39070e35c71b91b8da3d2ec0dad637f6657cd99b', 'ecf1361c833947be585ec77c09ffecebe2cab6a3', '3a570c0811c3f9c59eeb4d71e9186b7a380a32b6', 'a6578fd28612208a7263b63c23e3023efb69410f', 'ae065fd7a4d18407947a038ddb35634d59010857', '71ec85821af48aad860c6eb11d9ed331fd7ba401', '2cc6ed337b189b4603b05c97954372b21115f92a', 'c512251ffb5dc8990ca96a90bb010ff46bb55c6d', '88cbcfd0c324b08e4f0e9ec74b790c99378b61a8', 'd6489bbecca6a8973fd4b04185e31d3bfd99c885', 'e47a86d3536f989818c77970d62cb9fc29022e7f', 'aaf611046550ff389d6d084d74eec4912f2deb75', '74cb4b2a06533771d809e161d1c3787c41c9f44f', '059fd272ea70af8c6c18bee49d057d2aecd562e5', 'f82e84f17c54952878b6db1b0b1c0e359ff42779', 'fca41358a5ab5ec32b7c0af1dc5616f535010c83', '6b90fc844bc9536d5aa0cad4be35beb637e0c335', 'e4c15630da6b32708be8cf9b48879f6b6a8183b0', 'c31d62d0cdf5581d59fc1f08341facc662f5526f', 'c864d02aeea84ef8be08260e78d95b98c447263d', '00af0d8445b5cb9f588261547b730390e7d3ddcb', '6e890f0cc15066e58d8d14b4165513ef733d77df', 'ec752043cdf9228c817ecb5d22c0e7ed93ab69a3', 'e2a742023af8a78f348ad03caedf7eebe3260749', 'd4642b8fcea83e1c61fb9e6c4422021fba577b27', 'd1c39363233d58d0aebdd89fbe54134219982c64', '0d7055d107d50ba129f6c0c86210bd05275ba790', '428824fd521f6ce7e8cf98d5c8eaadb9363776d4', 'f229364ad7885f2eb75d6bd06461c966f66aea9c', '3ef3ea77b0a74746d8b927d126b155e62ac6043b', '7f8082fbe19a923d0a3ef3b7ff4c34ac579c24e0', '6366b07d215e32b00a3e196823f25a4cfa63eb65', '96fc357c35d204acc27a5e30c97ff8fe1bdea3a9', '49de78e3bb1298a57dc6f4311b73343cb4675402', 'd0c3d02dfc707e65ac4f4d57511c82c0c48985f7', 'ccd86e0617b443393727dbcc157f7335ce596156', '7c6e44607ae962a7626ad3582a3182f680342077', '496a7abc6fe323eb38f17b4bb6bf2d234ef42966', 'fc9e2ffa88bb039aa767cc58227f7d9dbce291f3', '9124365239eed618c705c2157ccd2d6a8389322c', '412ce692a76b89ee7511fff35b490fab829238d5', '7aa998e19ad87038ab3fcf8d4110aefde13103b3', '334e16d47c2e796c0ef6630dca17dddfcd6ac579', '2fe294caf6896ec56698ae83a51b4034aa66a73d', '18d56aa6c4961b7de71b00cc7bce29a8fd6c7806', '926e33c6ab77b8443d4793e1744fb0bcb57c4470', 'a9078b6688f0e949ba477e53be343a784fcd8c50', 'ec363c70e6c4648c071c4d15ad866d43f67a0beb', '55fbed5850ce9120b0f54f808f6277db51a6e24e', '9b46c39edd046fac5eb2303b2998c6c99cc4da58', '1136c2f1909068a24c660f8a2d71656b285b94d1', '3f131951e7c2bd19226ba642c181599c348d4eba', '92a501ad740f1c322510e09152ede8af9201bdd3', '7a4ab9cf0b232658071275c514fdd2fb4b2343aa', '9b076b3abd2269fe4b4554247fc9bccf083e959e', 'f0fc397bc0790706ace1fc7049ac22c77baa8aaa', '2b4e0e42aae3726f240fa24e4674cac553cf334d', 'b93135dcad10d1ca78cc8aef3cc164ed849e8283', 'eed833a7515e77064ddb7e6410045b3ced451f7f', '45fa33548d122ac6c1f7efa548ed8aa78bb4fe80', '5a0baa15e273a03d676b733acdfe512f1497e5d7', 'b73f0e4b94b3915d5de31fcb76c470f665b507de', '9b7627b9565823ac4c13eb93fb8350c1aed321b0', '9f1b7b1d6a9e0b935c8f12d4e162244fe62ddb0b', '2a45106608c0c97bb4e54a4dc4466bf589e337dd', '415649bdca16866df04d57210a43aabd78b764e9', '9d012e4fba71d874667ba2557bf8734a8282847a', 'bf77dff4f026150bf2c5ddbc855e308bfaf03e84', '143bee6883d6890ea33f46e3dcdad2d883e6c73c', 'a0012d8a7956858eab4781ab5257d1d9d9fa8919', '11fbde7aa7808cb433b2b4ac8a9f05a5caa74c4a', '2e62285b34c06959bc1fc7ee72638786c95cc01f', '3c36fc5547dd08d7010d3b362c0a1e3ba52cb4f6', '46f5f4833a1b6a63c735596c43759624fbcffd7f', 'c702fc0d0baf0d4f4b74c63f0e7c9ddd00bc79c3', '5a9e5b7555cca41e30a42c7537d896a9f5869562', 'e698499c9422f848b5233db607e28f3f68248821', '5d024476c11bb8b154dfb123dd04928fb71c1188', '215cdb19e59ba9af6f0900bf4a58049ee8c4e061', '6caefb793f0774c832f6e99d8aa1340e761b02a2', 'cd1a1b75109a08a994f833cdb854c34cd5fcbbfd', '5fd24d54a4ecfe3bca4f60d9e3408f32240e6f7a', 'c9992791eef47ae656b12a41ab3372020008d3b0', '8e9073242c4ac5887862593a67bac13f77d9f305', '276dc2560003865f32c47dba4a8ac7ca82c99d5a', '2e1468302f5fb926cb80d155d546d04c36d276e5', 'dc438d98ee62b5c1132fb97afaae45e822d150fe', 'cc01363f06999e05a28bc1f75e1f45dc4f576a12', 'ff04afabeb79d4d2fd3f1886234e0ee7fa59df9e', 'f7aa02cd858ac818fbfca7a6b953822f808b65bd', '6f3dc8c9c9050ca2fd21fbc2e8f6a7834547ac30', '6047cf1877a5ef5b7f27bf9ed86cbb448665c4bc', '660615cf1981e5d56185de18e30d9277836e91f1', '51f7de9ede5d3d772e2c1917152ba934e07507d0', '2ab5910d9a195b4acf34c2ddd0a823b2c304676b', 'ea44d83e0fa2abeeba9e0bc527693c6d6ced3306', 'ef58925f5e3595769d021984a340026bc68e6bf3', '14da78c2d8b9bf8faf89548b4cc54622386a24a4', 'e3c4255e72bc82a8cdf852bdbd9ce9f5a8390e2d', 'f01e14e6f162859b8e0c2a87f4535a2552baf250', '567d087d7e5ed3f874883b14bf265024661f86ea', 'ec9c76edf507791d5412f013746e3682b6f72f57', 'c93098fc10ab9e6a8adc1723fbd645be173e2cce', 'e9649d4f4ebdb04cff3201677c2254bc508b459d', '882398a5581a515bec274ead50a0a3bd4348c573', '1f031f5dbd8b096b3d13b007f6cb66643a667907', '644cd869686021cad0318e14cfc0b095f159fa00', 'e12334528d7f5d3924ec4f4878f105d078cff3ac', 'd05dd049f27a99fabfee2cf17b815d8c09ef0128', '613412a31e8e9b90fc62e17c9f563bb0199c9732', 'b9c7e3f17b0c8b9590e249a99c295770ca52a726', '85e665660fec53cc1fba9af4eeed337649ab644b', '6d827bf9ce92ee9452c9c6288b9f5ae02fd65d30', '2ee734ffa45c76bd00712df75c79ba35bed7ca0a', '2ab977d2b35fe52fde60c854e553d1ea11d6c406', '0d6c51843112db909b5eae35c6892aaa77188f27', '891cd2c895b3d6abc50f6af590bd3996da61e098', 'd93e63d29be5220a95ee617736b6e13c3bc2a87b', '26beb8da6d46ea9ac3d58cb7c57484a24a56faf6', 'a6475e8c6ce353e4497be4f94b4e96f8ac041c30', 'f6caab90d6e8705434f903d81791d4d930493525', '27f3fdeda0ce28847a815e2cf5a65185d4d14e65', '83db9e526c8808720617ce1924d63b6b9a6a2a14', '577fa31065eb89fdb6c445bf94db16e7be4d5830', 'a9c484a68f9a6dd85f39cca592bf8ab4d735f5da', 'c7c98be6130e9891007364166bfd5a059f9ecbb2', '2a3801311f4e1da84dacfc3bcd6c233733d8952a', '1fcefb00263a03dd8c9062105920db0dc485fbcc', 'bf472ba44ee19a02b677f563b5dd6fd52c3b64d8', 'b677eb18d17383e39369788e320a70d55a89ef8e', '2cc8b4daa15914f017d97ce7b310d4f6f353c601', '68a007ce2b5d5bbbdbe11e08a07384e85ba1c51b', '16ef1978b7161b2ce7fcbe3d02aec412e893c805', '161c25f28e9115cb5a32a78fb8a772b75b167294', '35a964f9231b6eb7a87b49af8532305c553db2f2', '13778f9cffd4b6a58b570316b2a31473f7a2d03e', '7294f920048f5e43d7d4709d4818d4816577f795', '4af0175b000a51e1b689539051507ef4cbfca934', '0e648f45141f6f8708ce96a0280197a1aefd7c82', 'bf665d5030e6a8df1545534cd9d7480ff1cce4f7', '7f7a3c55f32eed6fae7093c1b960c41575b26036', '530c74938040f8b75e74adcf9d94357059881d35', '913495979399e0ab0ad4dcc1435154117c3390eb', '219c65c8aa05522b53c9fafe66b69375e4c47ded', '203722007e9631431613a3257febdc4d8e5125d4', '77253bf05282b795fa573f51f65719dde2f0b5f1', 'e8fe6ac3530a76a47dddf76e5eabf12cad770f4e', '165256eb7b44ac6e60a12ce0ba8a9ddf42a266c5', '5153af4931a068e36a07d6bc15d826d41bd83cd9', '525b078edcf515b95f5eca09d2367b2074e1ae61', 'd7c6431a8d4856e6b2432fbe9f0c12e83181ed5b', 'e410d5354c1a24a836b38f9b19c0d27ad61ac953', '2bea1708a06f0b689699a29c7004b35133698cdd', 'ce1bf424a7ffa96b55697afc3f8c38ae2193fadf', '556828b183836c84a63d6a759b8692f4e85cafe3', '77c0faec95765cdca9693351894ec329c1bd7896', 'd02182c8f5ba59b6dcb641dc83fca0ffcc7896a3', 'c9999a6b4ac515134a52642913f45ae11d85c5ee', '5da78b793dc408e98e91999d32491cb781c4355c', '8c1d134074fb7cac926ca201c0309f264c9a1fb5', 'a706be85abae6dac10efce7ad855f444d6b8a64c', '586db40263d50d58f7b44f5b8c97ecb5d2cedfe4', 'b45a5b98960048cd45f1e2208192902b5d330aab', 'e5f53b939c954850b5a7fc8a7a437fca23c76a02', 'e0af7de671cd1ce8d4bdb7d743c2d1f941e13d8f', '8b19d763910be2d86a16f3f928b2dcfb75f9c522', '4db07b9fb7d830a1032de0cac748d9da336e80e7', '06fa7338924bca6867aa463298ba28ede787bdf5', 'bef3917b623d1a87226255ba1430788d0c348c70', 'b5b9259ff96db6c65707db2b836fb7ac5de1d2ea', 'a126117602925eff192091f05790a4da243d9a50', 'ef61342e99d8b549fb6c0618e7741063acbe5261', '0779a3debb8345601fed1a668fe6ce0b5f590588', '66dd8d71c14da0e16a3c92f7e78e5fa6acddc2fc', '85850ccd0a22440e4239a843f1a2c5c0ed309899', '3be9786b13342d7b82c46d1244c431b9813d1b21', '6b08d7de035143f499acc4877d249fdc6b8bf56d', 'cc8dcec2349bf4decb75b479ef46a104cfc012bc', '682e7af2ac189bd875d0a320ecc49155df215b1f', 'f0411afc9eb8d9fc3da6f5b94b0964235933e1c0', '75b8b92cb50a8be446bd6175a3a48fe895012397', '9c47db068e11007e3f184a473ddf651c77d9e222', '14b914037835f84f7c6fc0da7285b8c4ac5e3303', '6c91a1eeaed5512f5c0ec789e9672eaeab9ebe34', '32088b2b157aa0e4c5aa22ac4b0fea4e462cf29c', '5decc1df3755367a4de06dfcc1edb0bd78a10cc5', '91af2e3727b583300d2e0ee6e148004dcc86f44c', 'cd43648b76a261e6ca4a6274ddefbd189b025120', 'a2d0af74ff3ae4dee4a84da703992623f5f7f9f8', '26ef635454ef292d6250f325caad8d29034ab8d3', 'faaf6febc1cabc4faa9af58caab38c67e18c6633', 'a3968aaa0529240f156bf81679ff01adbd9033dd', 'ec61c7cb6e68e43a379a312cb8d87517b9266651', 'bcd24755089a68c05c0e3918bcd408497486df82', '09b7c06d9c909326dd96a225f4beda3b1c5f8d8f', '5a86b9d4c6bf1e7213a6de602acee0edb7d2b50d', '892e335ff059f91084c35552bd57ccac580cbd8f', '2d1c6293fbf28cb4e7db501161bfc38b0ba46fb6', '932d6e54e6fa89b727005d160295802669bff3ee', 'd794605c20b72ba6ff4269e9fb613612417530e8', '4dd3b09bce25b3eb9e687e9b43817e75aa13beeb', '7b5dfd426ebbd6e093287e1fba37deecdff18ab9', 'd60498fbd8d9f13bd6603b61e5e28260ae7af48a', '3a54d4fae0e86ffa1a3b464641d400f9b308c942', 'c292f14a409d74a534402d67b810d512f9e5b3fc', '4f23bde0729415ff358f3b76e10be9fe877c152f', '70952f19a61fb7cdb912742b19f1aeb95fb90478', '0a92c1b8fef9239fdebb767626c98af7d1346d83', '1e6c39ebf0b4e20b6274cac8b29972a585f090bc', '12bf4e67052dcf5d24c0b98c2afb0c73e4de1c34', '0d2b2a73c960f21d15948520358d961e195255f5', '480b363032a2dccc5f82b8a3bb40956eb91d9b2e', 'b47c5ac054586aeda16c888f8237fa5e31413adf', '2278da2053f2a20122c6e74429c7ff3cf0597c4e', '1e880989ca2d8edcd7e09d00d3c6b3d4b409dcbf', '1e776cd827da8ee73378d40d18a7dacd87c1e831', 'd37538e66214db9c40027fac2682e6c06672aeed', 'd0a53de4b2d22317cca886ea92cda8c6e49fea73', 'd0540c73c3ade1b3faa398a4358fff7ab7402998', '9dd8d9f91123d111ae0a1bfdd698fd17d2e9a94e', '38c00f4618ccffc6b205a38cc1dfb726ee59c7cc', '10fc6a605439a1d0a9fed22fcf981d341d3794b3', '4d7a71e98315a47823505cd9af91a2e30d69d6fa', 'f12e163690ba5672a003d1069f2c51ca674d9e3f', '31afbf2f9be687a3cf689605dd47271fa2268f1d', '07299766268b96d1afae86dc3fc6c8b4028196e5', '57ec144ddfa156737c99ed1f9bac61257ba191cf', '3b11bb6b24e79bd1a20231075a02f9aee50a9f39', '885cf2aeccb368c838a4f1794950efe3d4027175', 'a6cd80e59eee24a201aae08d893b1146f879c007', '965a3b7c439d9744857a2fc6b8ebaab4c1ebcfb2', '75d4e83fad8de4bea7fe722c21b933841a2a6afe', '49f373d95e1d3101316700c7d37b8382191bb026', '9830d449d7abe376174a68971448cdaf8b462b64', '986857f1cbacd5e4658a324da56b5d007d2d86bc', 'ce3efa9c90eda9e736de01b71f92974f71fa5671', '61569cb5e1c1518c608533a9b51b4d8109150213', '3eb7ca80aec2e394af4b69ff632a0e86d329a6ee', 'f6afa574137a566fd81b67ae728828a5b4af5c6e', 'dd8223f45a64c3625d6ae7a25b10f6921e808aa5', '1c1f5dcf486474653fbe49331c33edcd05f669d9', '8bbf3825db73131bed243d2fad4079318bc8dd99', 'f55ad375ca19deaf55d0584475d277e8cbc6ddce', '13f20c145cb724acc969b308650cdd8ac3c4ce2e', 'e0a765f6297041859cb37e3c17d3b116c62954ff', 'f65d6a1a194cd5431a74b68cd0b38083c427e3f3', '9fbccbde90a90a2a50a85bcce3c2d9873f09553c', '69d0760da7dc9154b0de83bcdab70968b0b5f3be', 'afa4cde367d36cb2f203accd3916b001f8ba42ea', '94f2ae4932c65a5ca93d334dde5bfcf59ec46e08', 'ebf12f9c2ebc01e08a849ae53e4f07def9177688', '232b6a9d1297e1f3c124971e04b33672c2f15c95', 'e563c656a1d8c3f79545b049a62ee09064c51b32', 'f92c2b70a8b7a4d21f6273cfc741011441fddb00', '36b06882443491e856e2ddea27f85cae207fb164', 'fe69fe8a5c322f17d023d9cd7ec73405dd6dae95', '8bad4412a7360807d506c1a6e4ab3a2ccfd92a9b', '83bcad8f6f690b679bdb335c840c05c356ca89aa', '8be2c4ecf9e63960c99706f5751f782506ade277', '88c92619712d6fdbc890d4acec0d59df66007559', '4ec5cc852c3d78b7b3c00a4d4582bfeedc01d8b0', '31e4f8b366c0c972e79e64cedcae71b6a6417843', '40c763184535d604e81434685065694ee11555e1', '5db7aaba6e4819bb53dd49532cc3c0e03496f0ca', '0f812428eaabdda411fc025902d13940ccf0506d', '1141cd2c1c136fc13287160a4ef21536478e5a77', 'e869d397e3bce9faf507374972044fa50824e8cd', 'c87ed5e71988802f7f041b216556a0b0aac0e7ae', 'e517872e52e8033e877de8e5dd8c939ab907adc0', '6ee61a2f97b52bda23ef715bfaf9226780f67892']
Peter Skrine	96		['fad79b6633ab0e13ee9ba00c66fae16115b206e5', 'ebd66fad6d8189f9fac560606265af8b17de7398', 'e01853821dccd2af5534b35defe05aa38a11bf06', 'ab6e14acfd0bdac1a073c2e18104265a3295752e', 'c58275b7d28de3aa58b94562d81c772f0ac24828', 'e5022a314e7fccb9bc0e8ac4073a10f4690228b2', '559ee5a6993d8bcf6bab5d07b45e89dc5c1670cd', 'f3d614e853dd98200e3f47019d438cb6df053b0e', '8ab9145b211a6bf3d5ab479865c7fba566985af4', '812524add26b39621d2449f9a32b15500fc49097', 'a8c1669b1e6acf2c4a3db4c0e1357b78673be705', 'e61b4eb9024073371478c7ce0f22554d7195a6ec', '6e3d5d7120cdb802d3fcc12564b9d0e14a025a0d', '15b494689b9e2f03b4f92c2489b971ce33d41605', '1baf12af8ca81b699056672726e0e39eca7b0b0e', '79a34925f7616d1fe2e1b862e3a2694750c42f0f', '82764def8267ef6fe803c6681978a2837b4b745c', '0281f2d9aed4c3eedd6f63e5633f18d31b5223d8', '1c2bcb93553b85ff9a69ae7db44f0cbbdc4c3362', 'c7cecd29220053749987d1db45cce109b4a01c79', 'f7d69cf86c817c7796b577c584dbfd01582f2cd6', '3c7e89686ae6db770a04e821fabc063a9782d980', '9d2159d7c7ca5cb0a2d90a1fb8530c63c055394a', 'fa7d4785b0cbd20cfe141472e7aadab2897b4f37', '94df5498ca4163252ab26358d83e0795300c46f5', '5437eb6a8a424d7427a8521405be74569ff131d4', 'ca079766f95be6d6ba5fc3733743283bb28b21a0', '66ac9cabedfa9aa6c36760925d749e6bd8e54549', '82e6bebacdb7d71c6f417efe79fcdcfff30f3b96', '905694e702a99db20bac1796a8d405ea4a2a907b', '8764eaa01b85d62f538f7318b4bbec2ec12f9c2e', '4ea82277ea9e78a404c9fc8a153cff9f99eb6486', '67accbbfad8d750a1f0fd73b721f496bb104d91a', '3b50685d3b8e50e6b9713825df3fac7d7cdaa473', '5027546354892e67983ff882923a03acc6d0bc13', '1caee36ca545ec097c312424014e032f00f3a087', '16fb7b156ff6528226dcba36ae308fa666f30e31', '46188c81604efcf1f6ec77e661735c8a526776a3', '29ff1be8df97f690fe2ad9fa80936261ab9840c6', 'f684d492f5ec0284d0f8ee415cb57d4aa0a8a2ab', '14fc6de600e472fc7a604c8c74e602eef7b8fef1', 'ae8130fd46d9f22946797dd7a380f2ceccd92c9c', '5eacf1ccfe4d082c3e686e056f40a32f0fadfa7f', '51ec29ed9e7ee0f70064be1ebead844699f0c647', 'f560b62de6c512548d1101ae42efeedc53b79f70', 'aacd0b5da19422a7b6d0f953cab5ae68ff0c9eca', '509e19e639ac38db36dd2884666e552125b6d266', 'bd0b37904834bc6551836db0d033ee1847d6261a', '9bfd2b38f160b7b2f80ef37c2d6713a545fec4ce', '46ff73eacc7b1b2d1292d2856748600736e5ded7', 'f0fcefdd6c1e63fb113bf9c457ff4b32e057ba85', 'a2adae10c0247d030165623c0f2a0ddd0396abf3', '39bce897fd3b6e1fa6b98728ac7f33862ddd4b71', '82f71818f89909ffe7d52194e309a493775e846d', '1bba1bedebf9e95e26017305ac82288baef96a75', 'dfc76f0f53130bb1f97f93c249aa438a4fabb463', '005519825ad2063864e6d92caa994a471f91d0f9', '0a30c35e360fe4450798c66c820ab82c43470535', '52c0daf7309ea15e4a398b8bd98c58b01de759e2', '5aa0c27e59bbfd3dad387eb92c6e0e1c0941d996', '3f8d98c37b24c5adedc10b25da4f5673b6297209', '5f6ebc5a0625a8299ad6d23a176a33d15596ca24', '656031fee74c2f70a641747d084381ccbbbf82de', '384182b422d9aa6dbedc1085e71f67af293e424c', 'e180f5d55b4df443ab32779a01b9a8a0a41a1e3f', 'e270ba3fd7fb796da1e64e97cd2bef31d678a370', 'adcb985f27ce3ad1318bfde682be51228f352b8c', '68fcd6791bea937def749379aee831f92151c1e8', '26244d3d775149fc9c069f57f4e9219731dc85b8', '1e60b6de5c13983888501ad9399d7aa42da66d1c', '7549b255ceec0aacfecf14895e8c71cad26e270e', 'b9f0202c873c1458ad3e9c0c421a962e344efe88', 'ea7a3b47c0df17f4b954ce96f75f4e786e316d4e', 'c5c3b19870658b98a1bedb86dc3d7b62d9bb7329', 'e1521396ad96dbdbedcec22412f015a43df83c02', 'b1ea826b3a4852045c20b7de2d8ffd9398e08747', '37f3c004aade0d6d2fff3102e80d5ee136591a14', '8a59f1101f80ed3fb0d40d9a98a2e44c5537f447', '8fcb5a7cfa167a8d9156e7f5acb18c75d78f5af2', '164ba79fc46d30bd5be13967d9e481bc9bfa25cf', '9019084a82c317b7dc0085ef5485402d66309e38', '445bde2d209a49d3bbc7c4c651a8e416c598cd95', 'b323ce136e509dcadbceb08e3d9fb1c7c3f9284f', '33fae02b8f0be424293f0c038a8d182f06af4263', '64426dccf75a1362fae617083f7a176fe7f52a11', 'd9fa8ef9f79c314ff41f922af4125ad79c6f1b48', '8e0d2849dd8c0912c1300033a1251ed69866c0d6', '708be8d90002dd723c4bf9a2c55cec17ea142907', '8727aac3ce28402eb1bbd4f7bc2ff69b29691e0c', '4a5519a055699513278b14b93b34fcb31779ce72', '689737ac11c717daa88e57cc4ea1257327e05ddb', 'ddefb4d4a17ca44c58e5229d19b19acae864dc55', 'f1680d842ea8e20c329eabc160d01f5da371ff85', 'a8ae46d0162f6d10bee5268c822a509ff108cd83', 'bbc3aaba19c06e5fa91e910554d583a1683ad6ae', '7c197f99ac87b84af3fc30b829b6bcc32794267c']
William J. Entwistle	92		['0541328aa9a1a778e10e27f972388e397df7d94a', '2e5cdf88b1b8e240afb70001531c5126d8b1ecf5', '76530ddb9651441319b9522e39f4b33f6594e26b', '9e8eecab6b9931d97ccde2e8fa2648a799a0bbe7', '46a4c0554509eea74a39b29e90167d2783278ee2', 'd0fdfe7e0bcf8583c95ad492db9e50eacad0cffa', '295ca99863470761d5d411ec9291bbfad656b250', 'ed05c580d021683870cfe067d1721f220d1c2f0d', 'd34b8391cffb90a4eb3799b983daff42333f8caa', '920d9096e19c15f74df59898fbc8e4e3c0cb52a5', 'fcb1faa12810f74a7aaddc50faa236b07de8b4dd', '7e99edc49966be777da79794dde929b3b104d666', '94afcdd4f8454b443427076b22d3e9fd449cfe7e', 'c12beb73758d0d152bfc42b5157441d524aa289b', '188a6821a572fbd4d923ef70d799df84eaacf434', '1e355dfbb14a9126a6e4a104945436725d2f9257', '0dd1f243e2cea2629eee8219c7d941c75d7c36e6', '7304723dc74e7a2e8ac7ea41576f75c9d613c003', 'b900595a8b359cafc73737bece6c8b6bd419f288', 'c08038b0ab44e47c8b2712ef4e25100f52182d44', 'c815a03ace5717f3a56f2045f41a6a354f1267f2', '35ef675a3e7bb8b5a94f2789f59448984db859c1', '1b52944b0faa885e20580500bb19a51e42b5e656', 'bfe45f61ac444979a29fe82e10b4680838bfbbf6', '570d08b47182cf1c884e7f27de3f78431aac5cc0', '5e4d62516319d5e2a2507a7d83dc46564a42b7f5', '5923bc7a136ab1a0f31fc49831bd0e2169b3717d', '21642f2063e5e50bcfaebf9ff4553f1b2b636ffc', 'ffc69cc526450e8c61c72664e579b7e6af132246', '833cb5ebc207ddd2c438b435e5ec7159c99a0dc4', '527531c20b022fcd2dc3824e1cba83f42d5e61a9', '10848c7c88e225f2d5d5244477f91e825f6a76a9', 'b6d1e83296c6460d3467f418d0b8960f2c065da4', '1a4f1d1fba6325145c99357c0147b7f234be9633', 'cc5363301cbccd0e76626f108eb9b38eef90437a', 'ccd13b030962f743a0b756bbf3a8c7983e0457c4', '36f011485ef3d3cad88e667e9ddd1b6fa7f453f3', 'b308b78b2efde7c9576c85d60427d3aa015420ca', 'bd57dd4e422a0ec1b7e5458f6939bc877d5e5602', '05d931d8239f91f4dbaf8dfe5c64f4383689959d', 'eefac9011d56d5353dc4edef479ce9080293f5aa', 'c150150bf467106616bcab5def0efa2ab149c41c', '54a615ecdfcbe25ac0cb6450bb34bb505879defa', '5f0e4d0a376e9a399c65f8e72841bb40fc9d529d', 'e33494f92341612ecd7ec5ad6fe72d492125070f', '8b5fc2445f465bb4e83337e5af6d8f306349c050', 'b6a91ae19e9ddb18c8f5683706cef4f4c88ab07f', 'd0794804ab18f458dd278483b7445962c3d4dcf6', '40603c48dce83ec558ad2111e565d317e1f711a7', 'a63d379288bb0c2d6af25b1546edb7fd767a9baf', 'df47b414f850b46e5af2d9718dc5fd8d57956073', '34052fbc66c8a3cc6b32367afc211d0f7e469b1b', '1adfa6b244f3aa4859332b9fa45aea56fd48b999', 'ed58cd58db9bf662313eb087ad438621a6c5e75f', 'e457e37641e5094f6ecf4e647c0893c5b12da825', 'ee6ed2c4a085236fd0344258b31480f570cd904f', '085fe76848071206b072bce3e9d9a3177f233d22', '7add97fa4174d0166f31c9d092ba5fef6e9df30d', '636f62041a3fb5b564a15d5bdf3d1e90047ba96d', '2accc405f4189b972e7bad19bef25ce86229b3d6', 'f951edfa70939d7249624b35743b541932e799e5', '7b7f5602950635a6a7ade1da306bd65783be2cec', '67672bb1c8f4d29366b6600690e2067bf4453809', 'e3242a3d38b4043fb0bff5f78dadfe9a32b7a8fc', 'd559f40f072efed49aa120cb3d7fb9d77c3872cb', 'a8c445a299c379804c2d31f31ff5402c65a5d060', '6817d249ea4de82f8c1aecfdf8d8e0d3d5e15358', '8cfcb9e96e21b09087e8a1eeebbf83b051b12aab', 'd4a4967971e81bb798993c89c1d5a249ddf2ed76', '92a181d07faf59b8171dade75b1afc6e1ddac0fb', '451e5374be822035700ccbbe58dde5b8b3d8e837', '17950b3cf61124fea74e50545c20ec4324751b0a', 'd9042188da857ba956aef77e6ea66ecf069d708c', '7d3ca8607431c9db5e66c0f1cebdbb5a3a7e3605', '5c371f4536624e09c11ea6e2c389e486b43a33c3', '5588f5a0f169e432ee8f91cf0b2481a4533922b6', 'c1cb97128a388de4e4874d72f71f09e1c8223ee9', '95c1babba35ff9a339cb809683122b9744591ef2', 'a239695c23c7fe6bc4e5458a414532ed0dc20eeb', '0ebe2aa1e6c73e4f16390c0bc69f1d19f73e09dd', 'ba8c665e7bb1c0b32c377a4df1c6e0e38825590c', '3639b5e5aebae3a92c9e3be5819fe771e0c26387', 'f4a01555acf634c650a011a65e2b5111e716f0c9', '6d72da649797126bb749f600b6d4cfda5028c475', '66b6a57258f246ff5a9a2ee6948287ff3b8d05c8', 'b117bb3299f1998f2f9b43ada2ac6804ecf4a381', 'af7015be70df289067b8f8e154c23a9b64de467a', 'a65be76a14a4a14d5184d49c67734e5c70b8ab20', '3291f0c893f2b20945139f517dc6de6b6b5b7df0', '86ae635a487fb00424c81e9715fc26c3eeb56e4a', 'c11f03c70e6ffda2281e29159e50828e745f4a62', '266364eea8e80187f48a8567586b801158cbf854']
