BOOK_ID	FILENAME	LIBRARIES	TITLE	AUTH_LAST	AUTH_FIRST	AUTH_ID	WRITTEN_AS	PUBL_CITY	PUBLISHER	PUBL_DATE	SOURCE	NATIONALITY	GENRE	CLEAN?	GENRE_2	BESTSELLER?	paperId	year
10517	00010517.txt	49.0	Place in the city	Fast	Howard	A_01139		New York	"""Harcourt, Brace & Co."""	1937	k	American					10517	1937
uc1.$b243800	uc1.$b243800.txt		The trap : a novel	Jacobson	['Dan']					1955	extracted_features						uc1.$b243800	1955
21599	00021599.txt	331.0	Umbertina	Barolini	Helen	A_00173		New York	Seaview Books	1979	k	American		c			21599	1979
uc1.b4372570	uc1.b4372570.txt		The Odyssey of a nice girl	Suckow	['Ruth']					1925	extracted_features						uc1.b4372570	1925
loc.ark+=13960=t98636g92	loc.ark+=13960=t98636g92.txt		Granville;	Guttersen	['Granville']					1919	hathi_fulltext						loc.ark+=13960=t98636g92	1919
10856	00010856.txt	50.0	Practically perfect	Lambert	Janet	A_01978		New York	E.P. Dutton	1947	k	American		c			10856	1947
11238	00011238.txt	38.0	Memoirs of a fox-hunting man	Sassoon	Siegfried	A_03030		London	Faber & Faber	1928	k	British					11238	1928
nyp.33433075969299	nyp.33433075969299.txt		Will the coming man marry? And other studies on the problems of home and marriage	Peters	['Madison', 'Clinton']					1905	hathi_fulltext						nyp.33433075969299	1905
20447	00020447.txt	137.0	A lost king	DeCapite	Raymond	A_00900		New York	D. McKay Co.	1961	k	American		c			20447	1961
mdp.39015063525730	mdp.39015063525730.txt		Captain of the crew	Barbour	['Ralph', 'Henry']					1901	hathi_fulltext						mdp.39015063525730	1901
mdp.39015012092998	mdp.39015012092998.txt		Miss Osborne-the-Mop	Steele	['Mary', 'Q']					1963	extracted_features						mdp.39015012092998	1963
2653	00002653.txt	124.0	The purple parasol	McCutcheon	George Barr	A_02321		New York	"""Dodd, Mead & Co."""	1905	g	American					2653	1905
2839	00002839.txt	195.0	The slim princess	Ade	George	A_00021		Indianapolis	Bobbs-Merrill Co.	1907	g	American					2839	1907
22142	00022142.txt	896.0	Why me	Westlake	Donald E	A_03579		New York	Viking	1983	k	American		c			22142	1983
10911	00010911.txt	185.0	Ten days' wonder	Queen	Ellery	A_02832		Boston	"""Little, Brown"""	1948	k	American		c			10911	1948
23314	00023314.txt	687.0	Sweet women lie	Estleman	Loren D	A_01101		Boston	Houghton Mifflin Co.	1990	k	American		c			23314	1990
4695	00004695.txt	76.0	Skippy Bedelle	Johnson	Owen	A_01820		Boston	"""Little, Brown, & Co."""	1922	g	American					4695	1922
nyp.33433076050347	nyp.33433076050347.txt		The wall between	Paine	['Ralph', 'Delahaye']					1914	hathi_fulltext						nyp.33433076050347	1914
4874	00004874.txt	135.0	The grey room	Phillpotts	Eden	A_02739		New York	Macmillan Co.	1921	k	British					4874	1921
20216	00020216.txt	161.0	Immortal Queen	Byrd	Elizabeth	A_00506		New York	Ballantine Books	1956	k	American		c			20216	1956
3818	00003818.txt	689.0	A far country	Churchill	Winston	A_00649		New York	Macmillan Co.	1915	g	American				YES	3818	1915
20742	00020742.txt	126.0	The sky-liners	L'Amour	Louis	A_01970		New York/Toronto	Bantam Booksantam Books	1967	k	American					20742	1967
21629	00021629.txt	501.0	The Howard Hughes affair	Kaminsky	Stuart M	A_01854		New York	St. Martin's Press	1979	k	American		c			21629	1979
mdp.39015028471236	mdp.39015028471236.txt		Up north	Bowden	['William', 'H']					1973	extracted_features						mdp.39015028471236	1973
20321	00020321.txt	834.0	The hard blue sky	Grau	Shirley Ann	A_01437		New York	Alfred A. Knopf	1958	k	American		c			20321	1958
mdp.39015014730025	mdp.39015014730025.txt		The outcasts	Becker	['Stephen', 'D']					1967	extracted_features						mdp.39015014730025	1967
uva.x030802549	uva.x030802549.txt		With Lawton and Roberts; a boy's adventures in the Philipinnes and the Transvaal	Brooks	['Elbridge', 'Streeter']					1900	hathi_fulltext						uva.x030802549	1900
1009	00001009.txt	46.0	Sustained honor	Musick	John R.	A_02519		New York	unk & Wagnalls Co.	1893	g	American	HIST				1009	1893
2106	00002106.txt	51.0	The transfiguration of Miss Philura	Kingsley	Florence Morse	A_01914		New York/London	Funk & Wagnalls Co.	1901	g	American	ROM				2106	1901
10370	00010370.txt	99.0	The sleepwalkers	Broch	Hermann	A_00397		Boston	"""Little, Brown & Co."""	1932	k	American					10370	1932
uc2.ark+=13960=t2r49hq8f	uc2.ark+=13960=t2r49hq8f.txt		The blond beast	Bennet	['Robert', 'Ames']					1918	hathi_fulltext						uc2.ark+=13960=t2r49hq8f	1918
3262	00003262.txt	86.0	The angel of Lonesome Hill	Landis	Frederick	A_01980		New York	Charles Scribner's Sons	1910	g	American					3262	1910
4599	00004599.txt	144.0	Autumn	Nathan	Robert	A_02530		New York	R.M. McBride & Co.	1921	g	American		c			4599	1921
22589	00022589.txt	288.0	The hound and the falcon	Tarr	Judith	A_03337		Garden City/N.Y.	"""Doubleday, Page & Co."""	1986	k	American		c			22589	1986
21760	00021760.txt	283.0	Alex driving south	Maillard	Keith	A_02209		New York	Dial Press	1980	k	American		c			21760	1980
21057	00021057.txt	108.0	High on gold	Richmond	Lee	A_02900		New York	Charter House	1972	k	American		c			21057	1972
20658	00020658.txt	159.0	Detective's due	Linington	Elizabeth	A_02086	1.0	New York	Harper & Bros.	1965	k	American	DET	c			20658	1965
uc1.$b242663	uc1.$b242663.txt		Thank You, Mr. Moto	Marquand	['John', 'P', 'John', 'Phillips']					1936	extracted_features						uc1.$b242663	1936
pst.000005825424	pst.000005825424.txt		Fifteen rabbits : a celebration of life	Salten	['Felix']					1930	extracted_features						pst.000005825424	1930
uc2.ark+=13960=t0gt5hw24	uc2.ark+=13960=t0gt5hw24.txt		Perilous adventures	Davenport	['R', 'A']					1900	hathi_fulltext						uc2.ark+=13960=t0gt5hw24	1900
4849	00004849.txt	300.0	Sons and lovers	Lawrence	D. H.	A_02006		New York	M. Kennerley	1913	k	British		c			4849	1913
11249	00011249.txt	22.0	The sleeping fury	Armstrong	Martin	A_00086		New York	"""Harcourt, Brace & Co."""	1929	k	British					11249	1929
4389	00004389.txt	53.0	All the brothers were valiant	Williams	Ben Ames	A_03636		New York	Macmillan Co.	1919	g	American					4389	1919
24415	00024415.txt	995.0	A regular guy	Simpson	Mona	A_04237		New York	Alfred A. Knopf	1996	k	American		c			24415	1996
1785	00001785.txt	157.0	McTeague	Norris	Frank	A_02566		New York	"""Doubleday, Page & Co."""	1899	g	American	REAL	c	NAT		1785	1899
mdp.39015063931268	mdp.39015063931268.txt		Dorothy Q, together with A ballad of the Boston tea party & Grandmother's story of Bunker Hill battle	Holmes	['Oliver', 'Wendell']					1892	hathi_fulltext						mdp.39015063931268	1892
pst.000063969689	pst.000063969689.txt		Loco, the bronc	Gray	['Patsey']					1961	extracted_features						pst.000063969689	1961
25189	00025189.txt	893.0	Be the one	Smith	April	A_04240		New York	Alfred A. Knopf	2000	k	American		c			25189	2000
10814	00010814.txt	51.0	Crows can't count	Fair	A. A.	A_01117		New York	W. Morrow	1946	k	American		c			10814	1946
20894	00020894.txt	540.0	Ripley under ground	Highsmith	Patricia	A_01650		Garden City/N.Y.	"""Doubleday, Page & Co."""	1970	k	American	DET	c			20894	1970
1056	00001056.txt	56.0	In the quarter	Chambers	Robert W.	A_00604		Chicago/New York	F.T. Neely	1894	g	American					1056	1894
22120	00022120.txt	370.0	The alien upstairs	Sargent	Pamela	A_03027		Garden City/N.Y.	"""Doubleday, Page & Co."""	1983	k	American		c			22120	1983
21559	00021559.txt	1156.0	The white dragon	McCaffrey	Anne	A_02292		New York	Ballantine Books	1978	k	American	FANT	c			21559	1978
21942	00021942.txt	1035.0	This Calder range	Dailey	Janet	A_00832		New York/N.Y.	. : Pocket Books	1982	k	American		c			21942	1982
25440	00025440.txt	340.0	Happy policeman	Anthony	Patricia	A_04323		New York	"""Harcourt, Brace & Co."""	1994	k	American		c			25440	1994
uc1.$b105699	uc1.$b105699.txt		Big Jim Turner : a novel	Stevens	['James']					1948	extracted_features						uc1.$b105699	1948
10886	00010886.txt	74.0	The furies	Busch	Niven	A_00499		New York	Dial Press	1948	k	American		c			10886	1948
22904	00022904.txt	628.0	Mischief in Maggody	Hess	Joan	A_01640		New York	St. Martin's Press	1988	k	American		c			22904	1988
uc1.b3559035	uc1.b3559035.txt		What was naturalism? Materials for an answer	Stone	['Edward']					1959	extracted_features						uc1.b3559035	1959
21509	00021509.txt	295.0	The piercing	Coyne	John	A_00770		New York	Putnam	1978	k	American		c			21509	1978
20777	00020777.txt	452.0	A case of need	Crichton	Michael	A_00785	1.0	New York	World Pub. Co.	1968	k	American	SCI	c			20777	1968
24481	00024481.txt	917.0	Rage of a demon king	Feist	Raymond E	A_01145		New York	Avon Books	1997	k	American		c			24481	1997
2675	00002675.txt	117.0	At the sign of the Jack o' Lantern	Reed	Myrtle	A_02865		New York	G.P. Putnam's Sons	1905	g	American					2675	1905
3122	00003122.txt	250.0	Options	Henry	O.	A_01630		New York/London	Harper & Bros.	1909	g	American					3122	1909
uc1.$b244027	uc1.$b244027.txt		Border breed	Raine	['William', 'MacLeod']					1935	extracted_features						uc1.$b244027	1935
mdp.39015008837695	mdp.39015008837695.txt		Barometer rising	MacLennan	['Hugh']					1941	extracted_features						mdp.39015008837695	1941
nyp.33433074939137	nyp.33433074939137.txt		A mirror of Shalott : being a collection of tales told at an unprofessional symposium	Benson	['Robert', 'Hugh', 'Spirit']					1907	hathi_fulltext						nyp.33433074939137	1907
20363	00020363.txt	76.0	Moura	Coffman	Virginia	A_00685		New York	Crown Publishers	1959	k	American		c			20363	1959
20811	00020811.txt	265.0	After the first death	Block	Lawrence	A_00311		New York	Macmillan Co.	1969	k	American		c			20811	1969
20924	00020924.txt	189.0	The lion in the lei shop	Starbird	Kaye	A_03233		New York	"""Harcourt, Brace & Co."""	1970	k	American		c			20924	1970
4127	00004127.txt	64.0	The whistling mother	Richmond	Grace S.	A_02899		Garden City/N.Y.	"""Doubleday, Page & Co."""	1917	g	American					4127	1917
25216	00025216.txt	394.0	The killing of the saints	Abella	Alex	A_04317		New York	Crown	1991	k	American		c			25216	1991
11592	00011592.txt	44.0	This time a better earth	Allan	Ted	A_00042		New York	W. Morrow & Co.	1939	k	Canadian		c			11592	1939
mdp.39015008379565	mdp.39015008379565.txt		Sanshô-Dayû	Mori	['Ōgai']					1922	extracted_features						mdp.39015008379565	1922
21782	00021782.txt	1381.0	Emmeline	Rossner	Judith	A_02978		New York	Simon & Schuster	1980	k	American		c			21782	1980
uc1.$b242800	uc1.$b242800.txt		Shepherds in sackcloth	KayeSmith	['Sheila']					1930	extracted_features						uc1.$b242800	1930
10275	00010275.txt	485.0	Oil!	Sinclair	Upton	A_03151		New York	A. & C. Boni	1927	k	American	REAL	c	NAT		10275	1927
1900	00001900.txt	59.0	Wanted: a match maker	Ford	Paul Leicester	A_01218		New York	"""Dodd, Mead"""	1900	g	American	ROM				1900	1900
20252	00020252.txt	106.0	Unhappy Hooligan	Palmer	Stuart	A_02642		New York	Harper & Bros.	1956	k	American		c			20252	1956
1988	00001988.txt	91.0	Quincy Adams Sawyer and Mason's corner folks	Pidgin	Charles Felton	A_02746		Boston	C.M. Clark	1900	g	American					1988	1900
11759	00011759.txt	51.0	The clock strikes twelve	Wentworth	Patricia	A_03568		New York/Philadelphia	J.B. Lippincott Co..B. Lippincott Co.	1944	k	British					11759	1944
21620	00021620.txt	591.0	The Jerusalem diamond	Gordon	Noah	A_01410		New York	Random House	1979	k	American		c			21620	1979
23631	00023631.txt	900.0	Wet work	Buckley	Christopher	A_00454		New York	Alfred A. Knopf	1991	k	American		c			23631	1991
22435	00022435.txt	389.0	Awaiting trespass	Ty-Casper	Linda	A_03430		New York	Readers International	1985	k	American		c			22435	1985
2692	00002692.txt	271.0	The beautiful lady	Tarkington	Booth	A_03336		New York	"""McClure, Phillips & Co."""	1905	g	American		c			2692	1905
21875	00021875.txt	469.0	Guinevere	Newman	Sharan	A_02550		New York	St. Martin's Press	1981	k	American		c			21875	1981
10850	00010850.txt	1626.0	Mrs. Mike	Freedman	Benedict	A_01249		New York	"""Coward-McCann, Inc."""	1947	k	American		c			10850	1947
11074	00011074.txt	10.0	The Screwtape letters	Lewis	C. S.	A_02058		London	Collins	1942	k	British		c			11074	1942
21381	00021381.txt	421.0	Doctor: lawyer ...	Wilcox	Collin	A_03621		New York	Random House	1976	k	American		c			21381	1976
mdp.39015014863123	mdp.39015014863123.txt		The weather in Middenshot, a novel	Mittelhölzer	['Edgar']					1952	extracted_features						mdp.39015014863123	1952
mdp.39015038593524	mdp.39015038593524.txt		The transgressors	Thompson	['Jim']					1961	extracted_features						mdp.39015038593524	1961
mdp.49015001066639	mdp.49015001066639.txt		A sad song singing	Dewey	['Thomas', 'Blanchard']					1963	extracted_features						mdp.49015001066639	1963
mdp.39015055392685	mdp.39015055392685.txt		The sophomores of Radcliffe; or, James Trafton and his bosom friends	Kellogg	['Elijah']					1899	hathi_fulltext						mdp.39015055392685	1899
11388	00011388.txt	27.0	The greater trumps	Williams	Charles	A_03637		London	"""V. Gollancz, ltd."""	1932	k	American					11388	1932
21879	00021879.txt	176.0	Save Johanna!	Pascal	Francine	A_02662		New York	Morrow	1981	k	American		c			21879	1981
wu.89098013303	wu.89098013303.txt		The affinities, a novel	Brownlee	['Alice', 'Vivian']					1890	hathi_fulltext						wu.89098013303	1890
10163	00010163.txt	15.0	Warrior of the dawn	Browne	Howard	A_00437		Chicago	Reilly & Lee	1943	g	American					10163	1943
10803	00010803.txt	73.0	Day of the conquerors	Busch	Niven	A_00499		New York/London	Harper & Bros.	1946	k	American		c			10803	1946
nc01.ark+=13960=t2t44984x	nc01.ark+=13960=t2t44984x.txt		Tom and Joe	Collins	['Clarence', 'B']					1890	hathi_fulltext						nc01.ark+=13960=t2t44984x	1890
nyp.33433075749287	nyp.33433075749287.txt		At one-thirty : a mystery	Ostrander	['Isabel']					1915	hathi_fulltext						nyp.33433075749287	1915
mdp.39015035528622	mdp.39015035528622.txt		The plunderers, a novel	Lefevre	['Edwin']					1916	hathi_fulltext						mdp.39015035528622	1916
21479	00021479.txt	142.0	Little America	Swigart	Rob	A_03327		Boston	Houghton Mifflin Co.	1977	k	American		c			21479	1977
10601	00010601.txt	77.0	The road returns	Corey	Paul	A_00749		Indianapolis	Bobbs-Merrill	1940	k	American					10601	1940
mdp.39015009340871	mdp.39015009340871.txt		The journey homeward	Hanley	['Gerald']					1961	extracted_features						mdp.39015009340871	1961
3499	00003499.txt	82.0	Philip Dru: administrator	House	Edward Mandell	A_01705		New York	B.W. Huebsch	1912	g	American					3499	1912
24998	00024998.txt	428.0	No dark place	Wolf	Joan	A_04302		New York	Harper & Bros.	1999	k	American		c			24998	1999
21697	00021697.txt	541.0	Timescape	Benford	Gregory	A_00250		New York	Simon & Schuster	1980	k	American		c			21697	1980
10469	00010469.txt	113.0	A victor of Salamis	Davis	William Stearns	A_00879		New York	Macmillan Co.	1935	k	American					10469	1935
11753	00011753.txt	5.0	The friendly young ladies	Renault	Mary	A_02874		London	"""Longmans, Green"""	1944	k	British					11753	1944
10283	00010283.txt	107.0	Behind that curtain	Biggers	Earl Derr	A_00282		New York	Grosset & Dunlap	1928	k	American	DET				10283	1928
11125	00011125.txt	17.0	The secret of the garden	Gask	Arthur	A_01318		London	Jenkins	1924	k	Australian					11125	1924
inu.32000007257969	inu.32000007257969.txt		The shorter tales of Joseph Conrad	Conrad	['Joseph']					1924	extracted_features						inu.32000007257969	1924
mdp.39015010314766	mdp.39015010314766.txt		Ghost tales of the Uwharries	Morgan	['Fred', 'T']					1968	extracted_features						mdp.39015010314766	1968
3865	00003865.txt	28.0	The man from the bitter roots	Lockhart	Caroline	A_02107		Philadelphia/London	J.B. Lippincott Co.	1915	g	American					3865	1915
23059	00023059.txt	1970.0	Mutation	Cook	Robin	A_00725		New York	Putnam	1989	k	American		c			23059	1989
21539	00021539.txt	321.0	You bet your life	Kaminsky	Stuart M	A_01854		New York	St. Martin's Press	1978	k	American		c			21539	1978
10401	00010401.txt	12.0	Fast one	Sims	George Caryl	A_03149	1.0	Garden City/N.Y.	George H. Doran Co.	1933	k	American					10401	1933
21941	00021941.txt	453.0	The orchids	Cook	Thomas H	A_00726		Boston	Houghton Mifflin Co.	1982	k	American		c			21941	1982
uc2.ark+=13960=t4jm23x05	uc2.ark+=13960=t4jm23x05.txt		Half-hours with the best American authors	Morris	['Charles']					1896	hathi_fulltext						uc2.ark+=13960=t4jm23x05	1896
24641	00024641.txt	381.0	Trunk music	Connelly	Michael	A_03857		New York	St. Martin's Paperbacks	1998	k	American		c			24641	1998
20879	00020879.txt	209.0	Our friends from Frolix 8	Dick	Philip K	A_00929		New York	Ace Books	1970	k	American	SCI	c			20879	1970
11352	00011352.txt	89.0	Hindoo holiday	Ackerley	J. R.	A_00009		London	Chatto & Windus	1932	k	British					11352	1932
22149	00022149.txt	826.0	Other women	Alther	Lisa	A_00061		New York	Alfred A. Knopf	1984	k	American		c			22149	1984
20832	00020832.txt	400.0	Real people	Lurie	Alison	A_02150		New York	Random House	1969	k	American		c			20832	1969
20744	00020744.txt	369.0	Imaginary friends	Lurie	Alison	A_02150		New York	Coward-McCann	1967	k	American		c			20744	1967
20752	00020752.txt	526.0	Stonecliff	Nathan	Robert	A_02530		New York	Alfred A. Knopf	1967	k	American		c			20752	1967
uc1.b3346976	uc1.b3346976.txt		Every man is God	Postgate	['Raymond', 'William']					1959	extracted_features						uc1.b3346976	1959
uc2.ark+=13960=t22b8zz7z	uc2.ark+=13960=t22b8zz7z.txt		The romance of Zion chapel	Le	['Gallienne', 'Richard']					1898	hathi_fulltext						uc2.ark+=13960=t22b8zz7z	1898
11562	00011562.txt	54.0	The beast must die	Day Lewis	Cecil	A_00885	1.0	New York/London	Harper & Bros.	1938	k	British					11562	1938
10720	00010720.txt	18.0	Do not disturb	McCloy	Helen	A_02308		New York	Morrow	1943	k	American					10720	1943
10463	00010463.txt	980.0	So red the rose	Young	Stark	A_03748		New York	Charles Scribner's Sons	1934	k	American				YES	10463	1934
10591	00010591.txt	143.0	Johnny got his gun	Trumbo	Dalton	A_03416		New York	J.B. Lippincott	1939	k	American					10591	1939
uc2.ark+=13960=t6639kt8d	uc2.ark+=13960=t6639kt8d.txt		Sylvia	Sinclair	['Upton']					1913	hathi_fulltext						uc2.ark+=13960=t6639kt8d	1913
mdp.39015016443031	mdp.39015016443031.txt		Shark Island	Edelman	['Maurice']					1967	extracted_features						mdp.39015016443031	1967
11360	00011360.txt	18.0	The Castleford conundrum	Stewart	Alfred Walter	A_03264	1.0	Boston	Little	1932	k	British					11360	1932
24475	00024475.txt	428.0	Murder on the Flying Scotsman	Dunn	Carola	A_01020		New York	St. Martin's Press	1997	k	American		c			24475	1997
10737	00010737.txt	132.0	They dream of home	Busch	Niven	A_00499		New York/London	D. Appleton & Co.	1944	k	American					10737	1944
11743	00011743.txt	220.0	Towards zero	Christie	Agatha	A_00647		New York/Philadelphia	"""Blakiston Co.; distributed by Dodd, Mead, """	1944	k	British	DET				11743	1944
4646	00004646.txt	45.0	The idol of Paris	Bernhardt	Sarah	A_00272		New York	Macaulay Co.	1922	g	French					4646	1922
2628	00002628.txt	196.0	Visionaries	Huneker	James	A_01737		New York	Charles Scribner's Sons	1905	g	American					2628	1905
inu.39000003577892	inu.39000003577892.txt		Hickory, dickory, death	Christie	['Agatha']					1955	extracted_features						inu.39000003577892	1955
11089	00011089.txt	374.0	Under the volcano	Lowry	Malcolm	A_02142		New York	Reynal & Hitchcock	1947	k	British	MOD	c			11089	1947
3920	00003920.txt	61.0	The heritage of the Sioux	Bower	B. M.	A_00348		New York	Grosset & Dunlap	1916	g	American					3920	1916
2913	00002913.txt	183.0	The port of missing men	Nicholson	Meredith	A_02554		Indianapolis	"""Bobbs-Merrill Co. Press of Braunworth & Co., bookbinders & printers"""	1907	g	American				YES	2913	1907
mdp.39015011213884	mdp.39015011213884.txt		The blessing	Mitford	['Nancy']					1951	extracted_features						mdp.39015011213884	1951
20672	00020672.txt	104.0	Pandemonium on the Potomac	Anderson	William C.	A_00072		New York	Crown	1966	k	American		c			20672	1966
nyp.33433074896204	nyp.33433074896204.txt		The bewitched fiddle, and other Irish tales	MacManus	['Seumas']					1900	hathi_fulltext						nyp.33433074896204	1900
10314	00010314.txt	106.0	Master Simon's garden	Meigs	Cornelia	A_02369		New York	Macmillan Co.	1929	k	American					10314	1929
20957	00020957.txt	110.0	Benjamin grabbed his glicken and ran	Gordon	Fred Jay	A_01407		New York	Harper & Bros.	1971	k	American		c			20957	1971
20668	00020668.txt	546.0	God bless you: Mr. Rosewater	Vonnegut	Kurt	A_03478		New York	Henry Holt & Co.	1965	k	American	POMO	c			20668	1965
uc2.ark+=13960=t9862c080	uc2.ark+=13960=t9862c080.txt		The two Salomes	Pool	['Maria', 'Louise']					1893	hathi_fulltext						uc2.ark+=13960=t9862c080	1893
21767	00021767.txt	925.0	The wizard's daughter	Mertz	Barbara	A_02380	1.0	New York	"""Dodd, Mead"""	1980	k	American		c			21767	1980
nyp.33433075737837	nyp.33433075737837.txt		Double life : a novel	Richards	['Grant']					1920	hathi_fulltext						nyp.33433075737837	1920
mdp.39076002192412	mdp.39076002192412.txt		The boy whaleman	Tucker	['George', 'Fox']					1924	extracted_features						mdp.39076002192412	1924
uc2.ark+=13960=t7pn90f54	uc2.ark+=13960=t7pn90f54.txt		The labyrinth of life	Valentine	['Edward', 'Abram', 'Uffington']					1912	hathi_fulltext						uc2.ark+=13960=t7pn90f54	1912
10564	00010564.txt	262.0	Beyond dark hills	Stuart	Jesse	A_03304		New York	E.P. Dutton	1938	k	American					10564	1938
11510	00011510.txt	9.0	President Fu Manchu	Ward	Arthur Henry	A_03512	1.0	London	Cassell	1936	k	British					11510	1936
22190	00022190.txt	231.0	The final reflection	Ford	John M	A_01216		New York	Pocket Books	1984	k	American		c			22190	1984
4079	00004079.txt	324.0	The three black Pennys	Hergesheimer	Joseph	A_01634		New York	Alfred A. Knopf	1917	g	American					4079	1917
3536	00003536.txt	39.0	Over the pass	Palmer	Frederick	A_02639		New York	Charles Scribner's Sons	1912	g	American					3536	1912
21522	00021522.txt	136.0	The lady with the moving parts	Gerber	Merrill Joan	A_01332		New York	Arbor House	1978	k	American		c			21522	1978
21870	00021870.txt	359.0	Powder burn	Montalbano	William D	A_02446		New York	Atheneum	1981	k	American		c			21870	1981
uc1.b4087991	uc1.b4087991.txt		Dark circle of branches	Armer	['Laura', 'Adams']					1933	extracted_features						uc1.b4087991	1933
njp.32101067626174	njp.32101067626174.txt		Adrift in New York	Jr	['Alger', 'Horatio']					1899	extracted_features						njp.32101067626174	1899
chi.086523141	chi.086523141.txt		Three things every boy must have	Lyles	['Charles', 'Simeon']					1916	hathi_fulltext						chi.086523141	1916
21642	00021642.txt	2662.0	The executioner's song	Mailer	Norman	A_02208		Boston	"""Little, Brown"""	1979	k	American	POMO	c			21642	1979
11654	00011654.txt	202.0	The fire and the wood	Hutchinson	R. C.	A_01744		New York/Toronto	"""Farrar & Rinehart, Inc."""	1940	k	British					11654	1940
uva.x001037363	uva.x001037363.txt		Merry tales of the monks	pseud	['Stephalius']					1892	hathi_fulltext						uva.x001037363	1892
24919	00024919.txt	556.0	The chairman	Kraus	Harry Lee	A_04049		"""Wheaton, IL"""	Crossway Books	1999	k	American		c			24919	1999
24011	00024011.txt	1084.0	Thank you for smoking	Buckley	Christopher	A_00454		New York	Random House	1994	k	American		c			24011	1994
21943	00021943.txt	598.0	Felice	Davis-Gardner	Angela	A_00880		New York	Random House	1982	k	American		c			21943	1982
nnc1.0315302741	nnc1.0315302741.txt		In Wicklow; West Kerry; The congested districts;	Synge	['J', 'M', 'John', 'Millington']					1909	hathi_fulltext						nnc1.0315302741	1909
11781	00011781.txt	86.0	The pursuit of love	Mitford	Nancy	A_02435		London	H. Hamilton	1945	k	British		c			11781	1945
25368	00025368.txt	858.0	Moving Mars	Bear	Greg	A_00213		New York	Tor	1993	k	American		c			25368	1993
10048	00010048.txt	226.0	Valley of wild horses	Grey	Zane	A_01462		New York	Grosset & Dunlap	1927	g	American					10048	1927
4633	00004633.txt	70.0	The wrong twin	Wilson	Harry Leon	A_03665		Garden City/New York/Toronto	"""Doubleday, Page & Co."""	1921	g	American					4633	1921
mdp.39015048481249	mdp.39015048481249.txt		The new trail; among the tribes in North Thailand	Scheuzger	['Otto']					1963	extracted_features						mdp.39015048481249	1963
22832	00022832.txt	371.0	Perfume of paradise	Blake	Jennifer	A_00301		New York	Fawcett Columbine	1988	k	American		c			22832	1988
uc1.$b245003	uc1.$b245003.txt		The secretary of state; being the second part of The realists	McKenna	['Stephen']					1927	extracted_features						uc1.$b245003	1927
mdp.39015059730773	mdp.39015059730773.txt		Night march	Lancaster	['Bruce']					1958	extracted_features						mdp.39015059730773	1958
11193	00011193.txt	64.0	The big four	Christie	Agatha	A_00647		London	tc : W. Collins Sons & Co.	1927	k	British					11193	1927
uc1.b3727197	uc1.b3727197.txt		The red road; a romance of Braddock's defeat	Pendexter	['Hugh']					1927	extracted_features						uc1.b3727197	1927
mdp.39015059414246	mdp.39015059414246.txt		The shame dance : and other stories	Steele	['Wilbur', 'Daniel']					1923	extracted_features						mdp.39015059414246	1923
26080	00026080.txt	843.0	The cornbread killer	Temple	Lou Jane	A_04630		New York	St. Martin's Minotaur	1999	k	American		c			26080	1999
3834	00003834.txt	214.0	Emma McChesney & co.	Ferber	Edna	A_01149		New York	Frederick A. Stokes Co. Publishers	1915	g	American					3834	1915
20616	00020616.txt	124.0	Von Ryan's Express	Westheimer	David	A_03577		New York	New American Library	1964	k	American		c			20616	1964
10659	00010659.txt	59.0	River rogue	Cheney	Brainard	A_00629		Boston	Houghton Mifflin Co.	1942	k	American					10659	1942
20341	00020341.txt	567.0	Seidman and Son	Moll	Elick	A_02439		New York	Putnam	1958	k	American		c			20341	1958
mdp.39015055108842	mdp.39015055108842.txt		At the tide's turn and other stories	Raddall	['Thomas', 'H']					1959	extracted_features						mdp.39015055108842	1959
uc2.ark+=13960=t7jq17s2g	uc2.ark+=13960=t7jq17s2g.txt		The gold tree	Squire	['John', 'Collings', 'Sir']					1917	hathi_fulltext						uc2.ark+=13960=t7jq17s2g	1917
21358	00021358.txt	503.0	Bloodbrothers	Price	Richard	A_02809		Boston/Mass.	Houghton Mifflin Co.	1976	k	American		c			21358	1976
2233	00002233.txt	443.0	The Mississippi bubble	Hough	Emerson	A_01701		Indianapolis	Bowen-Merrill Co.	1902	g	American				YES	2233	1902
3831	00003831.txt	40.0	Ruth Fielding on Cliff Island	Emerson	Alice B	A_01086		New York	Cupples & Leon	1915	g	American					3831	1915
11905	00011905.txt	20.0	Cat & mouse	Brand	Christianna	A_00381		London	M. Joseph	1950	k	British		c			11905	1950
23086	00023086.txt	243.0	Vulcan's glory	Fontana	D. C	A_01206		New York	Pocket Books	1989	k	American		c			23086	1989
11746	00011746.txt	18.0	The case of the gilded fly	Montgomery	Robert Bruce	A_02449	1.0	London	V. Gollancz	1944	k	British					11746	1944
pst.000030852204	pst.000030852204.txt		The mysterious stranger : and other stories	Twain	['Mark']					1910	extracted_features						pst.000030852204	1910
2842	00002842.txt	327.0	Ancestors	Atherton	Gertrude Franklin Horn	A_00099		New York/London	Harper & Bros.	1907	g	American					2842	1907
mdp.39015016437934	mdp.39015016437934.txt		Two and one; two short stories and a play	Madden	['Will', 'Anthony']					1961	extracted_features						mdp.39015016437934	1961
1176	00001176.txt	124.0	With the procession	Fuller	Henry Blake	A_01277		New York	Harper & Bros.	1895	g	American		c			1176	1895
