BOOK_ID	FILENAME	LIBRARIES	TITLE	AUTH_LAST	AUTH_FIRST	AUTH_ID	WRITTEN_AS	PUBL_CITY	PUBLISHER	PUBL_DATE	SOURCE	NATIONALITY	GENRE	CLEAN?	GENRE_2	BESTSELLER?	paperId	year
23407	00023407.txt	971.0	Jackpot	Pronzini	Bill	A_02816		New York	Delacorte Press	1990	k	American		c			23407	1990
24896	00024896.txt	1448.0	White elephant dead	Hart	Carolyn G	A_01576		New York	Avon Twilight	1999	k	American		c			24896	1999
11425	00011425.txt	22.0	Why didn't they ask Evans?	Christie	Agatha	A_00647		London	Published for the Crime Club by Collins	1934	k	British					11425	1934
23545	00023545.txt	1998.0	Elephants can remember	Christie	Agatha	A_00647		New York	"""Dodd, Mead"""	1972	k	British		c			23545	1972
21797	00021797.txt	241.0	A woman of valor	Topol	Allan	A_03397		New York	Morrow	1980	k	American		c			21797	1980
3170	00003170.txt	92.0	The man in lower ten	Rinehart	Mary Roberts	A_02912		New York	Review of Reviews	1909	g	American				YES	3170	1909
3848	00003848.txt	28.0	Hempfield	Baker	Ray Stannard	A_00130	1.0	New York	Grosset & Dunlap	1915	g	American					3848	1915
22828	00022828.txt	912.0	The houseguest	Berger	Thomas	A_00267		Boston	"""Little, Brown"""	1988	k	American		c			22828	1988
uc1.$b101600	uc1.$b101600.txt		Between two autumns : a novel	Marks	['Percy']					1941	extracted_features						uc1.$b101600	1941
10787	00010787.txt	76.0	The real life of Sebastian Knight	Nabokov	Vladimir Vladimirovich	A_02524		London	Editions Poetry	1945	k	American	POMO	c			10787	1945
11681	00011681.txt	64.0	Faro's daughter	Heyer	Georgette	A_01642		London	Heinemann	1941	k	British		c			11681	1941
uiuo.ark+=13960=t7vm4nf3b	uiuo.ark+=13960=t7vm4nf3b.txt		Dr. Sinclair's sister	Grey	['Edward']					1891	hathi_fulltext						uiuo.ark+=13960=t7vm4nf3b	1891
21364	00021364.txt	634.0	Even cowgirls get the blues	Robbins	Tom	A_02919		Boston	Houghton Mifflin Co.	1976	k	American		c			21364	1976
22069	00022069.txt	719.0	Magician's gambit	Eddings	David	A_01051		New York/N.Y.	. : Ballantine	1983	k	American					22069	1983
uc2.ark+=13960=t4zg6jt1j	uc2.ark+=13960=t4zg6jt1j.txt		Shamrock and wattle bloom	Knowles	['Marion', 'Miller']					1900	hathi_fulltext						uc2.ark+=13960=t4zg6jt1j	1900
22400	00022400.txt	967.0	The nuclear age	O'Brien	Tim	A_02583		New York	Alfred A. Knopf	1985	k	American		c			22400	1985
4092	00004092.txt	49.0	The high heart	King	Basil	A_01907		New York/London	Harper & Bros.	1917	g	American					4092	1917
20861	00020861.txt	462.0	This child's gonna live	Wright	Sarah E	A_03726		New York	Delacorte Press	1969	k	American		c			20861	1969
uc1.b3321876	uc1.b3321876.txt		The story of Ursula	Bell	['Florence', 'Eveleen', 'Elenore', 'Olliffe', 'Lady']					1895	hathi_fulltext						uc1.b3321876	1895
uc2.ark+=13960=t9f47kn3b	uc2.ark+=13960=t9f47kn3b.txt		My Lady Nobody	Schwartz	['Jozua', 'Marius', 'Willem', 'van', 'der', 'Poorten']					1895	hathi_fulltext						uc2.ark+=13960=t9f47kn3b	1895
10565	00010565.txt	11.0	Murder at the New York World's Fair	Taylor	Phoebe Atwood	A_03345		New York	Random House	1938	k	American					10565	1938
11090	00011090.txt	542.0	The light and the dark	Snow	C. P.	A_03199		New York	Charles Scribner's Sons	1947	k	British		c			11090	1947
10505	00010505.txt	537.0	The brothers Ashkenazi	Singer	Israel Joshua	A_03152		New York	Alfred A. Knopf	1936	k	American					10505	1936
21253	00021253.txt	510.0	Pages from a cold island	Exley	Frederick	A_01113		New York	Random House	1975	k	American		c			21253	1975
uc1.b3331939	uc1.b3331939.txt		Yankee enchantments	Loomis	['Charles', 'Battell']					1900	hathi_fulltext						uc1.b3331939	1900
3251	00003251.txt	132.0	The purchase price	Hough	Emerson	A_01701		Indianapolis	Bobbs-Merrill Co.	1910	g	American					3251	1910
20244	00020244.txt	55.0	Two-thirds of a ghost	McCloy	Helen	A_02308		New York	Random House	1956	k	American		c			20244	1956
22636	00022636.txt	652.0	Dawn	Butler	Octavia E	A_00501				1987	k	American	SCI	c			22636	1987
21843	00021843.txt	785.0	The man with a load of mischief	Grimes	Martha	A_01468		Boston	"""Little, Brown"""	1981	k	American		c			21843	1981
1065	00001065.txt	33.0	From the easy chair	Curtis	George William	A_00817		New York	Harper & Bros.	1894	g	American					1065	1894
20287	00020287.txt	36.0	Rainbow after rain	Lambert	Janet	A_01978		New York	E.P. Dutton	1957	k	American		c			20287	1957
20187	00020187.txt	52.0	Tunnel in the sky	Heinlein	Robert A.	A_01615		New York	Ace	1955	k	American	SCI	c			20187	1955
inu.32000002990176	inu.32000002990176.txt		A vagabond voyage through Brittany	Lester	['Emma', 'Service']					1915	hathi_fulltext						inu.32000002990176	1915
4499	00004499.txt	38.0	Days off: and other digressions	Van Dyke	Henry	A_03450		New York	Charles Scribner's Sons	1920	g	American					4499	1920
uc1.b4572819	uc1.b4572819.txt		The Children's munchausen	Martin	['John']					1921	hathi_fulltext						uc1.b4572819	1921
21240	00021240.txt	419.0	The computer connection	Bester	Alfred	A_00276		New York	Berkley Pub. Corp. : Distributed by Putnam	1975	k	American		c			21240	1975
2296	00002296.txt	30.0	Chiquita	Tileston	Merrill	A_03386		Chicago	.S.A. : Published by the Merrill Co.	1902	g	American					2296	1902
