BOOK_ID	TITLE	AUTH_LAST	AUTH_FIRST	PUBL_DATE	LIBRARIES	REFS
20907	The bluest eye	Morrison	Toni	1970	868.0	34
10683	The last time I saw Paris	Paul	Elliot	1942	859.0	1
10916	Walden Two	Skinner	B. F.	1948	841.0	8
20245	Peyton Place	Metalious	Grace	1956	839.0	3
20321	The hard blue sky	Grau	Shirley Ann	1958	834.0	1
11124	The white monkey	Galsworthy	John	1924	826.0	1
10329	Cimarron	Ferber	Edna	1930	812.0	31
21060	The breast	Roth	Philip	1972	797.0	8
10467	Lucy Gayheart	Cather	Willa	1935	792.0	4
20985	The Betsy	Robbins	Harold	1971	773.0	1
21266	Consenting adult	Hobson	Laura Z.	1975	771.0	1
10279	Twilight sleep	Wharton	Edith	1927	762.0	7
10348	American beauty	Ferber	Edna	1931	757.0	3
21225	The Fan Club	Wallace	Irving	1974	752.0	1
20002	Foundation	Asimov	Isaac	1951	750.0	18
20014	The beetle leg	Hawkes	John	1951	746.0	2
21593	A good school	Yates	Richard	1978	740.0	1
20476	Mother Night	Vonnegut	Kurt	1961	735.0	3
20283	On the Road	Kerouac	Jack	1957	734.0	1
21692	The salt eaters	Bambara	Toni Cade	1980	733.0	7
11070	The timeless land	Dark	Eleanor	1941	711.0	1
10231	The old maid	Wharton	Edith	1924	694.0	3
20927	Chicano	Vasquez	Richard	1970	693.0	78
11539	Theatre	Maugham	W. Somerset	1937	681.0	114
10747	The lost weekend	Jackson	Charles	1944	676.0	1
21278	Mortal stakes	Parker	Robert B.	1975	676.0	3
23537	The vivisector	White	Patrick	1970	667.0	2
21554	Rest you merry	MacLeod	Charlotte	1978	664.0	1
20497	The cannibal	Hawkes	John	1962	659.0	10
10258	The sun also rises	Hemingway	Ernest	1926	657.0	84
20282	Some came running	Jones	James	1957	652.0	3
10567	The buccaneers	Wharton	Edith	1938	648.0	6
4529	Messer Marco Polo	Byrne	Donn	1921	631.0	1
20664	The doorbell rang	Stout	Rex	1965	625.0	1
10523	They came like swallows	Maxwell	William	1937	622.0	1
10256	Soldiers' pay	Faulkner	William	1926	621.0	6
20193	The deer park	Mailer	Norman	1955	614.0	6
10340	The great meadow	Roberts	Elizabeth Madox	1930	610.0	2
3377	The long roll	Johnston	Mary	1911	610.0	2
10268	Mosquitoes	Faulkner	William	1927	609.0	13
10232	Dark laughter	Anderson	Sherwood	1925	601.0	10
10605	The hamlet	Faulkner	William	1940	601.0	58
21334	Doctor Rat	Kotzwinkle	William	1976	596.0	1
11777	Prater Violet	Isherwood	Christopher	1945	592.0	2
11715	Put out more flags	Waugh	Evelyn	1942	591.0	1
11783	Most secret	Shute	Nevil	1945	590.0	1
21232	The monkey wrench gang	Abbey	Edward	1975	588.0	2
10374	Tobacco road	Caldwell	Erskine	1932	582.0	8
23518	Frederica	Heyer	Georgette	1965	579.0	11
21044	First Blood	Morrell	David	1972	578.0	1
20040	The Caine mutiny	Wouk	Herman	1951	577.0	6
21800	Wizard	Varley	John	1980	570.0	3
10847	The stoic	Dreiser	Theodore	1947	561.0	7
20182	The recognitions	Gaddis	William	1955	561.0	24
10507	In dubious battle	Steinbeck	John	1936	559.0	9
10464	A house divided	Buck	Pearl S.	1935	554.0	1
21182	Ripley's game	Highsmith	Patricia	1974	551.0	1
11016	Riceyman Steps	Bennett	Arnold	1923	551.0	21
21411	Players	DeLillo	Don	1977	549.0	18
21514	Running dog	DeLillo	Don	1978	549.0	1
