docid	date	num_chunks	fraction_compared	filtered	time_radius	chunks_used	precocity	novelty	transience
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	4	0.05	True	10	1.0	0.006218427109298208	3.491977511898528	3.4857590847892297
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	4	0.05	True	10	0.25	0.024454260954904328	3.400504253008421	3.3760499920535167
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	4	0.05	True	20	1.0	0.014689539534806673	3.5229084689472265	3.50821892941242
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	4	0.05	True	20	0.25	0.05252471214807697	3.38031958161392	3.3277948694658432
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	4	0.05	False	10	1.0	0.010186554060810038	3.491977511898528	3.4817909578377177
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	4	0.05	False	10	0.25	0.031842607097600784	3.400504253008421	3.3686616459108203
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	4	0.05	False	20	1.0	0.01683230962427895	3.5229084689472265	3.5060761593229475
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	4	0.05	False	20	0.25	0.05469950269822865	3.38031958161392	3.3256200789156916
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	1.0	True	10	1.0	-0.0789959767394155	6.073435978250492	6.152431954989908
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	1.0	True	10	0.25	-0.0789959767394155	6.073435978250492	6.152431954989908
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	1.0	True	20	1.0	-0.10530753403046322	6.071223139719387	6.17653067374985
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	1.0	True	20	0.25	-0.10530753403046322	6.071223139719387	6.17653067374985
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	1.0	False	10	1.0	-0.078443438814638	6.073528366988084	6.151971805802722
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	1.0	False	10	0.25	-0.078443438814638	6.073528366988084	6.151971805802722
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	1.0	False	20	1.0	-0.10501185499866672	6.071269334088182	6.176281189086849
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	1.0	False	20	0.25	-0.10501185499866672	6.071269334088182	6.176281189086849
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	0.05	True	10	1.0	-0.1117792023663502	3.879599161699489	3.9913783640658393
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	0.05	True	10	0.25	-0.1117792023663502	3.879599161699489	3.9913783640658393
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	0.05	True	20	1.0	-0.13961847484692358	3.9044040477426605	4.044022522589584
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	0.05	True	20	0.25	-0.13961847484692358	3.9044040477426605	4.044022522589584
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	0.05	False	10	1.0	-0.10947319165529912	3.8809590587242715	3.9904322503795706
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	0.05	False	10	0.25	-0.10947319165529912	3.8809590587242715	3.9904322503795706
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	0.05	False	20	1.0	-0.13846546949139782	3.905083996255052	4.04354946574645
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	1	0.05	False	20	0.25	-0.13846546949139782	3.905083996255052	4.04354946574645
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	1.0	True	10	1.0	-0.006625212989715005	8.723467352671143	8.730092565660856
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	1.0	True	10	0.25	0.004793410788372772	8.87778958392209	8.872996173133714
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	1.0	True	20	1.0	-0.007914598716487179	8.737396309637056	8.745310908353543
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	1.0	True	20	0.25	0.02409067190473646	8.442858226909603	8.418767555004868
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	1.0	False	10	1.0	0.001636315522970438	8.723467352671141	8.72183103714817
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	1.0	False	10	0.25	0.013791160211977646	8.87778958392209	8.863998423710111
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	1.0	False	20	1.0	-0.0037838344601445564	8.737396309637056	8.741180144097202
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	1.0	False	20	0.25	0.0276587159205756	8.442858226909603	8.415199510989028
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	0.05	True	10	1.0	-0.03966135082840802	4.646668897751262	4.68633024857967
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	0.05	True	10	0.25	0.06415195787876016	4.969939435553974	4.905787477675214
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	0.05	True	20	1.0	-0.12351411329091455	4.738196005991428	4.8617101192823435
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	0.05	True	20	0.25	0.1270560882649138	5.146652537374533	5.019596449109619
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	0.05	False	10	1.0	0.04574144715202571	4.646668897751263	4.600927450599237
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	0.05	False	10	0.25	0.1432198003886631	4.830328089500987	4.687108289112324
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	0.05	False	20	1.0	-0.08081271430069768	4.738196005991428	4.819008720292127
db6e3bff4c5c7fba6e7840595c4383047f3a9624	1920	9	0.05	False	20	0.25	0.16489196831975672	5.146652537374533	4.981760569054775
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	1.0	True	10	1.0	-0.18950748511037713	9.290049718481164	9.479557203591542
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	1.0	True	10	0.25	-0.15505907492347445	9.215070826481387	9.370129901404862
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	1.0	True	20	1.0	-0.13812185468685673	9.319345132745381	9.457466987432237
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	1.0	True	20	0.25	-0.08551872795939748	9.329257858884445	9.414776586843843
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	1.0	False	10	1.0	-0.21446356223148064	9.266142732142097	9.480606294373578
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	1.0	False	10	0.25	-0.17443441550718397	9.196352271878231	9.370786687385415
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	1.0	False	20	1.0	-0.15099886931518292	9.307391639575847	9.458390508891032
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	1.0	False	20	0.25	-0.09608519330085545	9.319647727441255	9.41573292074211
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	0.05	True	10	1.0	-1.4283841448885881	2.6498489453490652	4.078233090237653
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	0.05	True	10	0.25	-1.119239756820148	3.207376177338455	4.326615934158603
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	0.05	True	20	1.0	-0.7859481070072533	3.098874830393444	3.8848229374006973
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	0.05	True	20	0.25	-0.33837134190973694	4.032059671055943	4.370431012965679
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	0.05	False	10	1.0	-1.6058622474069975	2.494320341970884	4.100182589377882
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	0.05	False	10	0.25	-1.2712482884923364	3.0731728555804714	4.344421144072808
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	0.05	False	20	1.0	-0.8824081840055723	3.021110528704354	3.9035187127099267
1a019020a684f9e5607e9f4858e8ba4f65eaa785	1920	9	0.05	False	20	0.25	-0.43323927740905593	3.815962812812588	4.249202090221645
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	1.0	True	10	1.0	-0.08319020282930056	6.79018871701785	6.873378919847151
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	1.0	True	10	0.25	-0.06241563858151	6.577914013759911	6.640329652341421
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	1.0	True	20	1.0	-0.05057285284117907	6.825644865681045	6.8762177185222235
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	1.0	True	20	0.25	-0.040057475557324196	6.263231421003425	6.303288896560749
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	1.0	False	10	1.0	-0.08207046934091311	6.79018871701785	6.872259186358763
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	1.0	False	10	0.25	-0.06189271638488947	6.577914013759911	6.639806730144801
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	1.0	False	20	1.0	-0.05001298609698601	6.825644865681045	6.875657851778031
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	1.0	False	20	0.25	-0.03941371314061293	6.263231421003425	6.302645134144038
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	0.05	True	10	1.0	-0.3144487770854082	3.5740248785200497	3.888473655605458
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	0.05	True	10	0.25	-0.15425796959626936	4.082064331724988	4.236322301321257
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	0.05	True	20	1.0	-0.23772032176043745	3.7324574337011747	3.970177755461612
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	0.05	True	20	0.25	-0.1909085956433767	4.161770820763981	4.352679416407358
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	0.05	False	10	1.0	-0.30573647639614476	3.5740248785200497	3.8797613549161944
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	0.05	False	10	0.25	-0.14761601816562298	4.082064331724988	4.229680349890611
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	0.05	False	20	1.0	-0.233364171415806	3.7324574337011747	3.965821605116981
aa7c16a4773a8d61aa3bb764295d34a873577737	1920	4	0.05	False	20	0.25	-0.1875876199280535	4.161770820763981	4.3493584406920345
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	1.0	True	10	1.0	0.10547169996956711	9.785186396593385	9.679714696623815
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	1.0	True	10	0.25	0.11054396051464188	9.86624789355827	9.755703933043629
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	1.0	True	20	1.0	0.10119649894680834	9.77493733227848	9.673740833331674
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	1.0	True	20	0.25	0.1082298184742374	9.907569629419822	9.799339810945584
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	1.0	False	10	1.0	0.10771504396000005	9.785186396593385	9.677471352633384
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	1.0	False	10	0.25	0.11286698412644292	9.86624789355827	9.753380909431828
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	1.0	False	20	1.0	0.10231817094202533	9.77493733227848	9.672619161336454
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	1.0	False	20	0.25	0.10942123485839428	9.907569629419822	9.798148394561426
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	0.05	True	10	1.0	2.144784668014436	6.887201093703529	4.7424164256890915
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	0.05	True	10	0.25	2.279972695428965	6.976864687064982	4.696891991636017
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	0.05	True	20	1.0	1.9073499963014036	6.577890072438484	4.67054007613708
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	0.05	True	20	0.25	2.030892859818939	6.655878801204592	4.6249859413856536
