docid	date	num_chunks	fraction_compared	filtered	time_radius	chunks_used	precocity	novelty	transience
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	8	1.0	False	20	0.25	0.0013871425581273578	0.21179722817752938	0.21041008561940203
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	8	0.05	True	10	1.0	-0.001333451532448092	0.14892046373134737	0.1502539152637955
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	8	0.05	True	10	0.25	-0.0001576606613034881	0.1575926505446807	0.1577503112059842
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	8	0.05	True	20	1.0	0.0009618922662679892	0.1502877647799991	0.14932587251373114
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	8	0.05	True	20	0.25	0.0019987175394577394	0.15515847704474572	0.15315975950528798
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	8	0.05	False	10	1.0	-0.0008670147652562535	0.14892046373134737	0.14978747849660365
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	8	0.05	False	10	0.25	0.0004161870067179996	0.15544296446310094	0.15502677745638294
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	8	0.05	False	20	1.0	0.0012038919920357473	0.1502877647799991	0.14908387278796337
a38077b2bf15619eede428a46fc7f7c1638a62ab	1920	8	0.05	False	20	0.25	0.0023270921107124976	0.15515847704474572	0.1528313849340332
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	1.0	True	10	1.0	-0.0025398963339931663	0.21906847243804	0.2216083687720332
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	1.0	True	10	0.25	-0.001534818461505827	0.22192291544922932	0.22345773391073515
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	1.0	True	20	1.0	-0.005149619584747286	0.21802021249823245	0.22316983208297975
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	1.0	True	20	0.25	-0.004015378080889365	0.22076973746350315	0.2247851155443925
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	1.0	False	10	1.0	-0.0025259842769027735	0.21905147498185454	0.22157745925875733
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	1.0	False	10	0.25	-0.001524848679720886	0.22190595369171065	0.22343080237143154
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	1.0	False	20	1.0	-0.0051408550970091504	0.2180117137701397	0.22315256886714885
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	1.0	False	20	0.25	-0.004008799965674575	0.22076125658474383	0.2247700565504184
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	0.05	True	10	1.0	-0.0011609109106900939	0.17102441497710896	0.17218532588779906
ecf02aab6f1b07041aebd9babe89d6a74448ff40	1920	2	0.05	True	10	0.25	0.00035691801144449586	0.16945559288856266	0.16909867487711816
